interacting_pair,interacting_cell,id,valueResponders,valueNonresponders,RatioRespondersVsNonresponders,LogRatioRespondersVsNonresponders
TNFRSF13B_CD70,B_cells.Plasma_cells,TNFRSF13B_CD70-B_cells.Plasma_cells,0.649,1.339,0.484690067,-0.31453588
HLA-DPA1_TNFSF9,B_cells.Plasma_cells,HLA-DPA1_TNFSF9-B_cells.Plasma_cells,11.327,0.1,113.27,2.054114901
CD55_ADGRE5,B_cells.Plasma_cells,CD55_ADGRE5-B_cells.Plasma_cells,3.596,0.1,35.96,1.555819683
CD74_COPA,B_cells.Plasma_cells,CD74_COPA-B_cells.Plasma_cells,89.763,72.266,1.242119392,0.094163342
CD74_MIF,B_cells.Plasma_cells,CD74_MIF-B_cells.Plasma_cells,93.293,75.489,1.235848932,0.091965386
CD72_SEMA4D,B_cells.Tcell_prolif,CD72_SEMA4D-B_cells.Tcell_prolif,0.655,0.1,6.55,0.8162413
TNFRSF13B_CD70,B_cells.Tcell_prolif,TNFRSF13B_CD70-B_cells.Tcell_prolif,1.071,1.859,0.576116192,-0.239489919
SEMA7A_a1b1 complex,B_cells.Tcell_prolif,SEMA7A_a1b1 complex-B_cells.Tcell_prolif,0.952,0.1,9.52,0.978636948
CD27_CD70,B_cells.Tcell_prolif,CD27_CD70-B_cells.Tcell_prolif,1.409,1.42,0.992253521,-0.003377351
CD55_ADGRE5,B_cells.Tcell_prolif,CD55_ADGRE5-B_cells.Tcell_prolif,4.387,0.1,43.87,1.642167634
CD74_COPA,B_cells.Tcell_prolif,CD74_COPA-B_cells.Tcell_prolif,90.031,72.411,1.243333195,0.094587529
CD74_MIF,B_cells.Tcell_prolif,CD74_MIF-B_cells.Tcell_prolif,94.793,77.966,1.215824847,0.084871014
TNF_ICOS,B_cells.Tregs,TNF_ICOS-B_cells.Tregs,2.243,0.1,22.43,1.350829274
TNF_TNFRSF1B,B_cells.Tregs,TNF_TNFRSF1B-B_cells.Tregs,3.586,0.1,35.86,1.554610285
TNF_FAS,B_cells.Tregs,TNF_FAS-B_cells.Tregs,1.807,0.1,18.07,1.256958153
SELL_SELPLG,B_cells.Tregs,SELL_SELPLG-B_cells.Tregs,2.718,2.042,1.331047992,0.124193715
CD55_ADGRE5,B_cells.Tregs,CD55_ADGRE5-B_cells.Tregs,3.574,0.1,35.74,1.553154548
CD74_COPA,B_cells.Tregs,CD74_COPA-B_cells.Tregs,90.114,72.446,1.243878199,0.094777856
CD74_MIF,B_cells.Tregs,CD74_MIF-B_cells.Tregs,92.931,75.716,1.227362777,0.088972948
CD74_APP,B_cells.Tumor_1,CD74_APP-B_cells.Tumor_1,91.953,74.497,1.23431816,0.091427119
CD74_COPA,B_cells.Tumor_1,CD74_COPA-B_cells.Tumor_1,89.798,72.408,1.240166832,0.093480112
CD74_MIF,B_cells.Tumor_1,CD74_MIF-B_cells.Tumor_1,96.761,75.384,1.283574764,0.10842117
COL9A2_a2b1 complex,B_cells.Tumor_2,COL9A2_a2b1 complex-B_cells.Tumor_2,0.564,0.1,5.64,0.751279104
HLA-DPB1_NRG1,B_cells.Tumor_2,HLA-DPB1_NRG1-B_cells.Tumor_2,13.04,0.1,130.4,2.115277591
TNF_CELSR2,B_cells.Tumor_2,TNF_CELSR2-B_cells.Tumor_2,0.369,0.1,3.69,0.567026366
CD74_APP,B_cells.Tumor_2,CD74_APP-B_cells.Tumor_2,90.606,73.888,1.226261369,0.088583047
ICAM1_AREG,B_cells.Tumor_2,ICAM1_AREG-B_cells.Tumor_2,4.55,0.1,45.5,1.658011397
CD74_COPA,B_cells.Tumor_2,CD74_COPA-B_cells.Tumor_2,89.809,72.324,1.241759305,0.094037423
CD74_MIF,B_cells.Tumor_2,CD74_MIF-B_cells.Tumor_2,95.441,75.104,1.270784512,0.104071913
TNFRSF13B_TNFSF13,B_cells.pDCs,TNFRSF13B_TNFSF13-B_cells.pDCs,1.325,1.482,0.894062078,-0.048632325
CD72_SEMA4D,B_cells.pDCs,CD72_SEMA4D-B_cells.pDCs,0.693,0.1,6.93,0.840733235
TNF_PTPRS,B_cells.pDCs,TNF_PTPRS-B_cells.pDCs,0.949,0.1,9.49,0.977266212
COPA_P2RY6,B_cells.pDCs,COPA_P2RY6-B_cells.pDCs,2.702,3.611,0.748269178,-0.125942144
NAMPT_P2RY6,B_cells.pDCs,NAMPT_P2RY6-B_cells.pDCs,3.598,3.603,0.998612268,-0.000603103
SELL_SELPLG,B_cells.pDCs,SELL_SELPLG-B_cells.pDCs,2.29,1.861,1.230521225,0.090089109
CD74_APP,B_cells.pDCs,CD74_APP-B_cells.pDCs,93.27,75.871,1.229323457,0.089666169
ICAM1_AREG,B_cells.pDCs,ICAM1_AREG-B_cells.pDCs,2.584,0.1,25.84,1.412292509
CD55_ADGRE5,B_cells.pDCs,CD55_ADGRE5-B_cells.pDCs,3.793,0.1,37.93,1.578982843
CD74_COPA,B_cells.pDCs,CD74_COPA-B_cells.pDCs,90.357,72.772,1.241645138,0.093997492
CD74_MIF,B_cells.pDCs,CD74_MIF-B_cells.pDCs,91.681,74.449,1.231460463,0.090420473
C3_aMb2 complex,CAFs.B_cells,C3_aMb2 complex-CAFs.B_cells,0.858,0.1,8.58,0.933487288
F10_aMb2 complex,CAFs.B_cells,F10_aMb2 complex-CAFs.B_cells,0.798,0.1,7.98,0.902002891
THY1_aMb2 complex,CAFs.B_cells,THY1_aMb2 complex-CAFs.B_cells,4.331,0.1,43.31,1.636588184
JAM3_aMb2 complex,CAFs.B_cells,JAM3_aMb2 complex-CAFs.B_cells,0.616,0.1,6.16,0.789580712
ICAM1_aMb2 complex,CAFs.B_cells,ICAM1_aMb2 complex-CAFs.B_cells,2.84,0.1,28.4,1.45331834
TGFB3_TGFbeta receptor1,CAFs.B_cells,TGFB3_TGFbeta receptor1-CAFs.B_cells,0.489,0.1,4.89,0.689308859
JAM2_a4b1 complex,CAFs.B_cells,JAM2_a4b1 complex-CAFs.B_cells,1.114,0.487,2.287474333,0.35935623
TNC_a4b1 complex,CAFs.B_cells,TNC_a4b1 complex-CAFs.B_cells,5.635,2.544,2.215015723,0.345376813
CXCL12_CXCR4,CAFs.B_cells,CXCL12_CXCR4-CAFs.B_cells,11.913,3.852,3.092679128,0.490334863
LTBR_LTB,CAFs.B_cells,LTBR_LTB-CAFs.B_cells,3.901,3.666,1.064102564,0.02698349
FN1_a4b1 complex,CAFs.B_cells,FN1_a4b1 complex-CAFs.B_cells,4.932,4.978,0.990759341,-0.004031824
COL1A2_a11b1 complex,CAFs.CAFs,COL1A2_a11b1 complex-CAFs.CAFs,54.709,0.1,547.09,2.738058777
COL3A1_a11b1 complex,CAFs.CAFs,COL3A1_a11b1 complex-CAFs.CAFs,50.157,0.1,501.57,2.700331552
COL6A5_a11b1 complex,CAFs.CAFs,COL6A5_a11b1 complex-CAFs.CAFs,0.483,0.1,4.83,0.683947131
PDGFR complex_PDGFD,CAFs.CAFs,PDGFR complex_PDGFD-CAFs.CAFs,1.551,0.1,15.51,1.190611798
WNT5A_ROR2,CAFs.CAFs,WNT5A_ROR2-CAFs.CAFs,0.482,1.161,0.415159345,-0.381785181
WNT5A_FZD1,CAFs.CAFs,WNT5A_FZD1-CAFs.CAFs,0.505,1.188,0.425084175,-0.371525063
COL11A1_a11b1 complex,CAFs.CAFs,COL11A1_a11b1 complex-CAFs.CAFs,0.789,0.1,7.89,0.897077003
COL6A1_a11b1 complex,CAFs.CAFs,COL6A1_a11b1 complex-CAFs.CAFs,23.683,0.1,236.83,2.374436715
COL5A3_a11b1 complex,CAFs.CAFs,COL5A3_a11b1 complex-CAFs.CAFs,1.085,0.1,10.85,1.035429738
COL6A3_a11b1 complex,CAFs.CAFs,COL6A3_a11b1 complex-CAFs.CAFs,9.249,0.1,92.49,1.966094779
COL1A1_a11b1 complex,CAFs.CAFs,COL1A1_a11b1 complex-CAFs.CAFs,98.963,0.1,989.63,2.995472852
COL6A2_a11b1 complex,CAFs.CAFs,COL6A2_a11b1 complex-CAFs.CAFs,24.754,0.1,247.54,2.393645387
COL5A1_a11b1 complex,CAFs.CAFs,COL5A1_a11b1 complex-CAFs.CAFs,3.251,0.1,32.51,1.512016969
COL7A1_a11b1 complex,CAFs.CAFs,COL7A1_a11b1 complex-CAFs.CAFs,1.082,0.1,10.82,1.034227261
PDGFRB_PDGFD,CAFs.CAFs,PDGFRB_PDGFD-CAFs.CAFs,2.39,0.1,23.9,1.378397901
COL16A1_a11b1 complex,CAFs.CAFs,COL16A1_a11b1 complex-CAFs.CAFs,1.595,0.1,15.95,1.202760687
COL27A1_a11b1 complex,CAFs.CAFs,COL27A1_a11b1 complex-CAFs.CAFs,0.777,0.1,7.77,0.890421019
COL12A1_a11b1 complex,CAFs.CAFs,COL12A1_a11b1 complex-CAFs.CAFs,2.168,0.1,21.68,1.336059278
COL6A5_a1b1 complex,CAFs.CAFs,COL6A5_a1b1 complex-CAFs.CAFs,0.377,0.1,3.77,0.57634135
COL1A1_a1b1 complex,CAFs.CAFs,COL1A1_a1b1 complex-CAFs.CAFs,98.858,40.52,2.439733465,0.387342383
COL1A2_a1b1 complex,CAFs.CAFs,COL1A2_a1b1 complex-CAFs.CAFs,54.603,23.875,2.287036649,0.359273124
COL14A1_a11b1 complex,CAFs.CAFs,COL14A1_a11b1 complex-CAFs.CAFs,1.495,0.1,14.95,1.174641193
COL3A1_a1b1 complex,CAFs.CAFs,COL3A1_a1b1 complex-CAFs.CAFs,50.051,29.193,1.714486349,0.234134032
COL15A1_a11b1 complex,CAFs.CAFs,COL15A1_a11b1 complex-CAFs.CAFs,1.938,0.1,19.38,1.287353773
FGFR1_FGF7,CAFs.CAFs,FGFR1_FGF7-CAFs.CAFs,2.014,1.414,1.424328147,0.153610057
COL5A2_a11b1 complex,CAFs.CAFs,COL5A2_a11b1 complex-CAFs.CAFs,4.397,0.1,43.97,1.643156466
COL4A2_a11b1 complex,CAFs.CAFs,COL4A2_a11b1 complex-CAFs.CAFs,2.447,0.1,24.47,1.388633969
COL4A1_a11b1 complex,CAFs.CAFs,COL4A1_a11b1 complex-CAFs.CAFs,2.752,0.1,27.52,1.43964843
WNT5A_ANTXR1,CAFs.CAFs,WNT5A_ANTXR1-CAFs.CAFs,1.684,2.06,0.817475728,-0.087525133
COL5A1_a1b1 complex,CAFs.CAFs,COL5A1_a1b1 complex-CAFs.CAFs,3.145,1.786,1.760918253,0.245739195
COL18A1_a11b1 complex,CAFs.CAFs,COL18A1_a11b1 complex-CAFs.CAFs,3.765,0.1,37.65,1.575764981
FN1_a11b1 complex,CAFs.CAFs,FN1_a11b1 complex-CAFs.CAFs,4.294,0.1,42.94,1.63286204
FN1_aVb5 complex,CAFs.CAFs,FN1_aVb5 complex-CAFs.CAFs,5.048,4.933,1.023312386,0.010008231
WNT5A_PTPRK,CAFs.CAFs,WNT5A_PTPRK-CAFs.CAFs,0.483,1.384,0.348988439,-0.457188959
PLXNB2_PTN,CAFs.CAFs,PLXNB2_PTN-CAFs.CAFs,1.531,0.633,2.41864139,0.383571481
PTN_PTPRS,CAFs.CAFs,PTN_PTPRS-CAFs.CAFs,1.552,0.617,2.515397083,0.400606553
