interacting_pair,interacting_cell,id,valueResponders,valueNonresponders,RatioRespondersVsNonresponders,LogRatioRespondersVsNonresponders
JAM2_a4b1 complex,CAFs.CD4_T_cells,JAM2_a4b1 complex-CAFs.CD4_T_cells,0.907,0.1,9.07,0.957607287
TNC_a4b1 complex,CAFs.CD4_T_cells,TNC_a4b1 complex-CAFs.CD4_T_cells,5.428,2.504,2.167731629,0.336005514
CXCL12_CXCR4,CAFs.CD4_T_cells,CXCL12_CXCR4-CAFs.CD4_T_cells,11.171,4.473,2.497429019,0.397493154
VCAM1_a4b1 complex,CAFs.CD4_T_cells,VCAM1_a4b1 complex-CAFs.CD4_T_cells,1.229,0.1,12.29,1.089551883
ICAM1_aLb2 complex,CAFs.CD4_T_cells,ICAM1_aLb2 complex-CAFs.CD4_T_cells,2.87,1.945,1.475578406,0.168962291
ICAM1_ITGAL,CAFs.CD4_T_cells,ICAM1_ITGAL-CAFs.CD4_T_cells,2.87,1.945,1.475578406,0.168962291
TFRC_TNFSF13B,CAFs.CD4_T_cells,TFRC_TNFSF13B-CAFs.CD4_T_cells,0.813,0.1,8.13,0.910090546
LTBR_LTB,CAFs.CD4_T_cells,LTBR_LTB-CAFs.CD4_T_cells,3.321,3.765,0.882071713,-0.054496105
SIRPA_CD47,CAFs.CD4_T_cells,SIRPA_CD47-CAFs.CD4_T_cells,0.78,0.1,7.8,0.892094603
EGFR_COPA,CAFs.CD4_T_cells,EGFR_COPA-CAFs.CD4_T_cells,0.687,0.557,1.233393178,0.091101542
FAM3C_CLEC2D,CAFs.CD4_T_cells,FAM3C_CLEC2D-CAFs.CD4_T_cells,2.657,2.547,1.043188064,0.018362609
JAG1_NOTCH2,CAFs.CD4_T_cells,JAG1_NOTCH2-CAFs.CD4_T_cells,0.488,0.1,4.88,0.688419822
FN1_a4b1 complex,CAFs.CD4_T_cells,FN1_a4b1 complex-CAFs.CD4_T_cells,4.725,4.938,0.956865128,-0.019149273
VCAM1_a4b7 complex,CAFs.CD8_act_T_cells,VCAM1_a4b7 complex-CAFs.CD8_act_T_cells,0.879,0.1,8.79,0.943988875
FN1_a4b7 complex,CAFs.CD8_act_T_cells,FN1_a4b7 complex-CAFs.CD8_act_T_cells,4.375,5.105,0.857002938,-0.067017689
JAM2_a4b1 complex,CAFs.CD8_act_T_cells,JAM2_a4b1 complex-CAFs.CD8_act_T_cells,0.853,0.913,0.934282585,-0.029521746
CXCL12_CXCR3,CAFs.CD8_act_T_cells,CXCL12_CXCR3-CAFs.CD8_act_T_cells,6.303,0.1,63.03,1.799547307
TNC_a4b1 complex,CAFs.CD8_act_T_cells,TNC_a4b1 complex-CAFs.CD8_act_T_cells,5.374,2.97,1.809427609,0.257541213
EGFR_AREG,CAFs.CD8_act_T_cells,EGFR_AREG-CAFs.CD8_act_T_cells,1.244,0.977,1.273285568,0.104925817
ICAM1_SPN,CAFs.CD8_act_T_cells,ICAM1_SPN-CAFs.CD8_act_T_cells,2.819,0.1,28.19,1.450095076
CXCL12_CXCR4,CAFs.CD8_act_T_cells,CXCL12_CXCR4-CAFs.CD8_act_T_cells,13.572,5.881,2.307770787,0.363192672
VCAM1_a4b1 complex,CAFs.CD8_act_T_cells,VCAM1_a4b1 complex-CAFs.CD8_act_T_cells,1.175,0.1,11.75,1.070037867
ICAM1_aLb2 complex,CAFs.CD8_act_T_cells,ICAM1_aLb2 complex-CAFs.CD8_act_T_cells,2.894,2.134,1.356138707,0.132304112
ICAM1_ITGAL,CAFs.CD8_act_T_cells,ICAM1_ITGAL-CAFs.CD8_act_T_cells,2.894,2.134,1.356138707,0.132304112
LTBR_LTB,CAFs.CD8_act_T_cells,LTBR_LTB-CAFs.CD8_act_T_cells,2.541,0.1,25.41,1.405004665
SIRPA_CD47,CAFs.CD8_act_T_cells,SIRPA_CD47-CAFs.CD8_act_T_cells,0.73,0.1,7.3,0.86332286
ICAM1_AREG,CAFs.CD8_act_T_cells,ICAM1_AREG-CAFs.CD8_act_T_cells,3.488,2.426,1.437757626,0.15768568
FN1_a4b1 complex,CAFs.CD8_act_T_cells,FN1_a4b1 complex-CAFs.CD8_act_T_cells,4.671,5.405,0.864199815,-0.063385831
CD55_ADGRE5,CAFs.CD8_act_T_cells,CD55_ADGRE5-CAFs.CD8_act_T_cells,2.564,2.24,1.144642857,0.058670003
TGFB3_TGFBR3,CAFs.CD8_ex_T_cells,TGFB3_TGFBR3-CAFs.CD8_ex_T_cells,0.673,0.761,0.884362681,-0.053369593
PLXNB2_SEMA4D,CAFs.CD8_ex_T_cells,PLXNB2_SEMA4D-CAFs.CD8_ex_T_cells,0.474,0.458,1.034934498,0.014912864
EGFR_TGFB1,CAFs.CD8_ex_T_cells,EGFR_TGFB1-CAFs.CD8_ex_T_cells,2.882,1.798,1.602892102,0.204904289
TNFRSF10B_FASLG,CAFs.CD8_ex_T_cells,TNFRSF10B_FASLG-CAFs.CD8_ex_T_cells,0.566,0.1,5.66,0.752816431
JAM2_a4b1 complex,CAFs.CD8_ex_T_cells,JAM2_a4b1 complex-CAFs.CD8_ex_T_cells,0.98,0.96,1.020833333,0.008954843
CXCL12_CXCR3,CAFs.CD8_ex_T_cells,CXCL12_CXCR3-CAFs.CD8_ex_T_cells,6.319,0.1,63.19,1.800648355
TNC_a4b1 complex,CAFs.CD8_ex_T_cells,TNC_a4b1 complex-CAFs.CD8_ex_T_cells,5.501,3.017,1.823334438,0.260866335
CXCL12_CXCR4,CAFs.CD8_ex_T_cells,CXCL12_CXCR4-CAFs.CD8_ex_T_cells,13.403,6.193,2.164217665,0.335300938
TNFRSF10B_TNFSF10,CAFs.CD8_ex_T_cells,TNFRSF10B_TNFSF10-CAFs.CD8_ex_T_cells,0.684,0.1,6.84,0.835056102
EGFR_MIF,CAFs.CD8_ex_T_cells,EGFR_MIF-CAFs.CD8_ex_T_cells,3.727,0.1,37.27,1.571359393
VCAM1_a4b1 complex,CAFs.CD8_ex_T_cells,VCAM1_a4b1 complex-CAFs.CD8_ex_T_cells,1.302,0.1,13.02,1.114610984
ICAM1_aLb2 complex,CAFs.CD8_ex_T_cells,ICAM1_aLb2 complex-CAFs.CD8_ex_T_cells,3.091,1.992,1.551706827,0.190809671
ICAM1_ITGAL,CAFs.CD8_ex_T_cells,ICAM1_ITGAL-CAFs.CD8_ex_T_cells,3.091,1.992,1.551706827,0.190809671
TNFRSF1A_FASLG,CAFs.CD8_ex_T_cells,TNFRSF1A_FASLG-CAFs.CD8_ex_T_cells,0.841,1.083,0.77654663,-0.109832461
SIRPA_CD47,CAFs.CD8_ex_T_cells,SIRPA_CD47-CAFs.CD8_ex_T_cells,0.677,0.1,6.77,0.830588669
EGFR_COPA,CAFs.CD8_ex_T_cells,EGFR_COPA-CAFs.CD8_ex_T_cells,0.682,0.645,1.057364341,0.02422466
FAM3C_CLEC2D,CAFs.CD8_ex_T_cells,FAM3C_CLEC2D-CAFs.CD8_ex_T_cells,4.217,3.941,1.070032987,0.029397166
FN1_a4b1 complex,CAFs.CD8_ex_T_cells,FN1_a4b1 complex-CAFs.CD8_ex_T_cells,4.798,5.452,0.880044021,-0.055495604
TGFB3_TGFBR3,CAFs.CD8_mem_T_cells,TGFB3_TGFBR3-CAFs.CD8_mem_T_cells,0.471,0.763,0.617300131,-0.209503631
PLXNB2_SEMA4D,CAFs.CD8_mem_T_cells,PLXNB2_SEMA4D-CAFs.CD8_mem_T_cells,0.639,0.507,1.26035503,0.100492899
VCAM1_a4b7 complex,CAFs.CD8_mem_T_cells,VCAM1_a4b7 complex-CAFs.CD8_mem_T_cells,0.84,0.1,8.4,0.924279286
EGFR_TGFB1,CAFs.CD8_mem_T_cells,EGFR_TGFB1-CAFs.CD8_mem_T_cells,3.748,2.022,1.853610287,0.268018431
TNFRSF10B_FASLG,CAFs.CD8_mem_T_cells,TNFRSF10B_FASLG-CAFs.CD8_mem_T_cells,0.74,0.1,7.4,0.86923172
FN1_a4b7 complex,CAFs.CD8_mem_T_cells,FN1_a4b7 complex-CAFs.CD8_mem_T_cells,4.336,0.1,43.36,1.637089274
JAM2_a4b1 complex,CAFs.CD8_mem_T_cells,JAM2_a4b1 complex-CAFs.CD8_mem_T_cells,1.115,0.858,1.2995338,0.11378758
CXCL12_CXCR3,CAFs.CD8_mem_T_cells,CXCL12_CXCR3-CAFs.CD8_mem_T_cells,7.12,1.432,4.972067039,0.696536976
TNC_a4b1 complex,CAFs.CD8_mem_T_cells,TNC_a4b1 complex-CAFs.CD8_mem_T_cells,5.636,2.915,1.933447684,0.286332425
ICAM1_SPN,CAFs.CD8_mem_T_cells,ICAM1_SPN-CAFs.CD8_mem_T_cells,2.828,2.1,1.346666667,0.12926011
CXCL12_CXCR4,CAFs.CD8_mem_T_cells,CXCL12_CXCR4-CAFs.CD8_mem_T_cells,18.939,9.21,2.056351792,0.313097414
TNFRSF10B_TNFSF10,CAFs.CD8_mem_T_cells,TNFRSF10B_TNFSF10-CAFs.CD8_mem_T_cells,0.696,0.1,6.96,0.84260924
VCAM1_a4b1 complex,CAFs.CD8_mem_T_cells,VCAM1_a4b1 complex-CAFs.CD8_mem_T_cells,1.437,0.1,14.37,1.157456768
ICAM1_aLb2 complex,CAFs.CD8_mem_T_cells,ICAM1_aLb2 complex-CAFs.CD8_mem_T_cells,2.807,1.946,1.442446043,0.159099577
ICAM1_ITGAL,CAFs.CD8_mem_T_cells,ICAM1_ITGAL-CAFs.CD8_mem_T_cells,2.807,1.946,1.442446043,0.159099577
TNFRSF1A_FASLG,CAFs.CD8_mem_T_cells,TNFRSF1A_FASLG-CAFs.CD8_mem_T_cells,1.014,1.255,0.807968127,-0.092605771
SIRPA_CD47,CAFs.CD8_mem_T_cells,SIRPA_CD47-CAFs.CD8_mem_T_cells,0.746,0.1,7.46,0.872738827
EGFR_COPA,CAFs.CD8_mem_T_cells,EGFR_COPA-CAFs.CD8_mem_T_cells,0.701,0.617,1.136142626,0.055432854
FAM3C_CLEC2D,CAFs.CD8_mem_T_cells,FAM3C_CLEC2D-CAFs.CD8_mem_T_cells,3.433,3.283,1.045689918,0.019402921
FN1_a4b1 complex,CAFs.CD8_mem_T_cells,FN1_a4b1 complex-CAFs.CD8_mem_T_cells,4.933,5.349,0.922228454,-0.035161482
PDGFRA_PDGFC,CAFs.DCs,PDGFRA_PDGFC-CAFs.DCs,1.252,0.896,1.397321429,0.145296319
EGFR_TGFA,CAFs.DCs,EGFR_TGFA-CAFs.DCs,0.446,0.391,1.140664962,0.057158101
CSF1_SLC7A1,CAFs.DCs,CSF1_SLC7A1-CAFs.DCs,0.809,0.1,8.09,0.907948522
CSF1_SIRPA,CAFs.DCs,CSF1_SIRPA-CAFs.DCs,0.788,0.1,7.88,0.896526217
TGFB3_TGFbeta receptor1,CAFs.DCs,TGFB3_TGFbeta receptor1-CAFs.DCs,0.213,0.1,2.13,0.328379603
MDK_SORL1,CAFs.DCs,MDK_SORL1-CAFs.DCs,0.765,0.1,7.65,0.883661435
NRP1_VEGFA,CAFs.DCs,NRP1_VEGFA-CAFs.DCs,0.895,0.772,1.159326425,0.064205735
CD40_TNFSF13B,CAFs.DCs,CD40_TNFSF13B-CAFs.DCs,5.396,3.261,1.654707145,0.218721142
TNC_a4b1 complex,CAFs.DCs,TNC_a4b1 complex-CAFs.DCs,5.463,2.528,2.160996835,0.334654131
NRP2_VEGFA,CAFs.DCs,NRP2_VEGFA-CAFs.DCs,0.775,0.825,0.939393939,-0.027152246
CXCL12_CXCR4,CAFs.DCs,CXCL12_CXCR4-CAFs.DCs,11.761,3.362,3.498215348,0.543846541
AXL_GAS6,CAFs.DCs,AXL_GAS6-CAFs.DCs,0.973,0.556,1.75,0.243038049
TFRC_TNFSF13B,CAFs.DCs,TFRC_TNFSF13B-CAFs.DCs,5.337,3.205,1.665210608,0.221469169
EGFR_GRN,CAFs.DCs,EGFR_GRN-CAFs.DCs,1.541,1.159,1.329594478,0.123719203
FN1_aVb1 complex,CAFs.DCs,FN1_aVb1 complex-CAFs.DCs,4.22,0.1,42.2,1.625312451
LAMP1_FAM3C,CAFs.DCs,LAMP1_FAM3C-CAFs.DCs,1.253,0.1,12.53,1.097951071
FN1_a4b1 complex,CAFs.DCs,FN1_a4b1 complex-CAFs.DCs,4.76,4.962,0.959290609,-0.018049807
TNFRSF1A_GRN,CAFs.DCs,TNFRSF1A_GRN-CAFs.DCs,1.799,1.672,1.075956938,0.03179489
APELA_APLNR,CAFs.Endothelial,APELA_APLNR-CAFs.Endothelial,0.716,0.1,7.16,0.854913022
CXCL1_ACKR1,CAFs.Endothelial,CXCL1_ACKR1-CAFs.Endothelial,4.331,13.001,0.333128221,-0.477388575
VEGFA_KDR,CAFs.Endothelial,VEGFA_KDR-CAFs.Endothelial,0.676,0.1,6.76,0.829946696
IGF1_a6b4 complex,CAFs.Endothelial,IGF1_a6b4 complex-CAFs.Endothelial,0.708,0.1,7.08,0.850033258
CCL2_ACKR1,CAFs.Endothelial,CCL2_ACKR1-CAFs.Endothelial,10.645,10.243,1.039246315,0.016718493
WNT5A_PTPRK,CAFs.Endothelial,WNT5A_PTPRK-CAFs.Endothelial,0.994,1.758,0.565415245,-0.247632486
VEGFA_FLT1,CAFs.Endothelial,VEGFA_FLT1-CAFs.Endothelial,1.409,0.1,14.09,1.148910993
ACKR3_CXCL12,CAFs.Endothelial,ACKR3_CXCL12-CAFs.Endothelial,2.07,1.608,1.287313433,0.109684301
NOTCH2_DLL4,CAFs.Endothelial,NOTCH2_DLL4-CAFs.Endothelial,1.629,0.988,1.648785425,0.21716414
TNFSF10_TNFRSF10D,CAFs.Endothelial,TNFSF10_TNFRSF10D-CAFs.Endothelial,1.997,0.796,2.50879397,0.399464997
FBN1_a5b1 complex,CAFs.Endothelial,FBN1_a5b1 complex-CAFs.Endothelial,2.24,1.834,1.221374046,0.086848687
EGFR_HBEGF,CAFs.Endothelial,EGFR_HBEGF-CAFs.Endothelial,0.551,1.117,0.493285586,-0.306901574
MIF_TNFRSF10D,CAFs.Endothelial,MIF_TNFRSF10D-CAFs.Endothelial,4.606,7.024,0.655751708,-0.183260569
CD44_SELE,CAFs.Endothelial,CD44_SELE-CAFs.Endothelial,8.488,5.99,1.417028381,0.151378549
TNFRSF10B_TNFSF10,CAFs.Endothelial,TNFRSF10B_TNFSF10-CAFs.Endothelial,1.03,0.1,10.3,1.012837225
FN1_a5b1 complex,CAFs.Endothelial,FN1_a5b1 complex-CAFs.Endothelial,4.724,5.653,0.83566248,-0.077969097
LAMC1_a6b1 complex,CAFs.Endothelial,LAMC1_a6b1 complex-CAFs.Endothelial,1.622,1.926,0.842159917,-0.074605433
EGFR_GRN,CAFs.Endothelial,EGFR_GRN-CAFs.Endothelial,0.732,1.306,0.560490046,-0.251432096
EGFR_COPA,CAFs.Endothelial,EGFR_COPA-CAFs.Endothelial,0.659,0.513,1.28460039,0.108768049
FN1_aVb1 complex,CAFs.Endothelial,FN1_aVb1 complex-CAFs.Endothelial,4.475,5.22,0.857279693,-0.066877463
LAMP1_FAM3C,CAFs.Endothelial,LAMP1_FAM3C-CAFs.Endothelial,1.461,0.81,1.803703704,0.256165197
CD46_JAG1,CAFs.Endothelial,CD46_JAG1-CAFs.Endothelial,0.682,0.972,0.701646091,-0.15388189
TNFRSF1A_GRN,CAFs.Endothelial,TNFRSF1A_GRN-CAFs.Endothelial,0.99,1.82,0.543956044,-0.264436193
THY1_aXb2 complex,CAFs.Macrophages,THY1_aXb2 complex-CAFs.Macrophages,4.713,2.623,1.79679756,0.254499149
PGRMC2_CCL4L2,CAFs.Macrophages,PGRMC2_CCL4L2-CAFs.Macrophages,2.285,3.291,0.694317837,-0.158441678
OSMR_OSM,CAFs.Macrophages,OSMR_OSM-CAFs.Macrophages,0.618,0.855,0.722807018,-0.14097764
VEGFA_FLT1,CAFs.Macrophages,VEGFA_FLT1-CAFs.Macrophages,0.611,0.1,6.11,0.78604121
ICAM1_aXb2 complex,CAFs.Macrophages,ICAM1_aXb2 complex-CAFs.Macrophages,3.223,2.889,1.115610938,0.047512764
CD99_PILRA,CAFs.Macrophages,CD99_PILRA-CAFs.Macrophages,6.579,3.803,1.729950039,0.238033561
CSF1_SIRPA,CAFs.Macrophages,CSF1_SIRPA-CAFs.Macrophages,0.611,0.1,6.11,0.78604121
TGFB3_TGFbeta receptor1,CAFs.Macrophages,TGFB3_TGFbeta receptor1-CAFs.Macrophages,0.256,0.325,0.787692308,-0.103643396
FBN1_a5b1 complex,CAFs.Macrophages,FBN1_a5b1 complex-CAFs.Macrophages,2.138,1.579,1.354021533,0.131625571
NRP1_VEGFA,CAFs.Macrophages,NRP1_VEGFA-CAFs.Macrophages,1.204,1.573,0.765416402,-0.116102236
MDK_LRP1,CAFs.Macrophages,MDK_LRP1-CAFs.Macrophages,0.78,0.551,1.415607985,0.150943004
CD40_TNFSF13B,CAFs.Macrophages,CD40_TNFSF13B-CAFs.Macrophages,0.675,0.1,6.75,0.829303773
EGFR_HBEGF,CAFs.Macrophages,EGFR_HBEGF-CAFs.Macrophages,0.786,0.567,1.386243386,0.141839487
PROS1_AXL,CAFs.Macrophages,PROS1_AXL-CAFs.Macrophages,0.409,0.1,4.09,0.611723308
TNC_a4b1 complex,CAFs.Macrophages,TNC_a4b1 complex-CAFs.Macrophages,4.875,0.1,48.75,1.68797462
EGFR_AREG,CAFs.Macrophages,EGFR_AREG-CAFs.Macrophages,3.169,1.466,2.161664393,0.334788269
NRP2_VEGFA,CAFs.Macrophages,NRP2_VEGFA-CAFs.Macrophages,1.084,1.626,0.666666667,-0.176091259
EGFR_MIF,CAFs.Macrophages,EGFR_MIF-CAFs.Macrophages,4.952,3.986,1.242348219,0.094243342
AXL_GAS6,CAFs.Macrophages,AXL_GAS6-CAFs.Macrophages,0.665,0.1,6.65,0.822821645
FN1_a5b1 complex,CAFs.Macrophages,FN1_a5b1 complex-CAFs.Macrophages,4.622,5.398,0.856243053,-0.067402939
TFRC_TNFSF13B,CAFs.Macrophages,TFRC_TNFSF13B-CAFs.Macrophages,0.616,0.1,6.16,0.789580712
HLA-G_LILRB1,CAFs.Macrophages,HLA-G_LILRB1-CAFs.Macrophages,0.721,0.1,7.21,0.857935265
EGFR_GRN,CAFs.Macrophages,EGFR_GRN-CAFs.Macrophages,1.708,1.778,0.960629921,-0.01744389
HLA-G_LILRB2,CAFs.Macrophages,HLA-G_LILRB2-CAFs.Macrophages,0.935,0.1,9.35,0.970811611
EGFR_COPA,CAFs.Macrophages,EGFR_COPA-CAFs.Macrophages,0.592,0.506,1.169960474,0.06817119
FN1_aVb1 complex,CAFs.Macrophages,FN1_aVb1 complex-CAFs.Macrophages,4.498,5.565,0.808265948,-0.092445718
JAG1_NOTCH2,CAFs.Macrophages,JAG1_NOTCH2-CAFs.Macrophages,0.776,0.1,7.76,0.889861721
LAMP1_FAM3C,CAFs.Macrophages,LAMP1_FAM3C-CAFs.Macrophages,1.255,0.1,12.55,1.098643726
ICAM1_AREG,CAFs.Macrophages,ICAM1_AREG-CAFs.Macrophages,5.413,2.914,1.857584077,0.26894848
FN1_a4b1 complex,CAFs.Macrophages,FN1_a4b1 complex-CAFs.Macrophages,4.172,0.1,41.72,1.6203443
TNFRSF1A_GRN,CAFs.Macrophages,TNFRSF1A_GRN-CAFs.Macrophages,1.966,2.292,0.857766143,-0.0666311
WNT5A_FZD3,CAFs.Melanocytes,WNT5A_FZD3-CAFs.Melanocytes,0.492,0.1,4.92,0.691965103
PTN_PTPRZ1,CAFs.Melanocytes,PTN_PTPRZ1-CAFs.Melanocytes,1.843,0.1,18.43,1.265525335
MDK_PTPRZ1,CAFs.Melanocytes,MDK_PTPRZ1-CAFs.Melanocytes,1.024,0.1,10.24,1.010299957
WNT5A_ANTXR1,CAFs.Melanocytes,WNT5A_ANTXR1-CAFs.Melanocytes,0.363,0.1,3.63,0.559906625
WNT5A_PTPRK,CAFs.Melanocytes,WNT5A_PTPRK-CAFs.Melanocytes,0.381,0.1,3.81,0.580924976
JAM2_JAM3,CAFs.Melanocytes,JAM2_JAM3-CAFs.Melanocytes,0.437,0.352,1.241477273,0.093938773
CSF1_SIRPA,CAFs.Melanocytes,CSF1_SIRPA-CAFs.Melanocytes,0.524,0.1,5.24,0.719331287
JAM3_JAM3,CAFs.Melanocytes,JAM3_JAM3-CAFs.Melanocytes,0.489,0.433,1.129330254,0.052820963
TGFB3_TGFbeta receptor1,CAFs.Melanocytes,TGFB3_TGFbeta receptor1-CAFs.Melanocytes,0.227,0.1,2.27,0.356025857
NRP1_VEGFB,CAFs.Melanocytes,NRP1_VEGFB-CAFs.Melanocytes,0.634,0.1,6.34,0.802089258
THBS1_a3b1 complex,CAFs.Melanocytes,THBS1_a3b1 complex-CAFs.Melanocytes,1.867,0.1,18.67,1.271144318
FN1_a3b1 complex,CAFs.Melanocytes,FN1_a3b1 complex-CAFs.Melanocytes,4.231,0.1,42.31,1.626443025
MDK_LRP1,CAFs.Melanocytes,MDK_LRP1-CAFs.Melanocytes,0.681,0.1,6.81,0.833147112
EGFR_MIF,CAFs.Melanocytes,EGFR_MIF-CAFs.Melanocytes,9.131,5.503,1.659276758,0.21991883
AXL_GAS6,CAFs.Melanocytes,AXL_GAS6-CAFs.Melanocytes,0.936,0.52,1.8,0.255272505
LAMC1_a6b1 complex,CAFs.Melanocytes,LAMC1_a6b1 complex-CAFs.Melanocytes,1.038,0.1,10.38,1.016197354
GRN_SORT1,CAFs.Melanocytes,GRN_SORT1-CAFs.Melanocytes,1.098,1.188,0.924242424,-0.034214101
COPA_SORT1,CAFs.Melanocytes,COPA_SORT1-CAFs.Melanocytes,0.652,0.555,1.174774775,0.069954613
EGFR_GRN,CAFs.Melanocytes,EGFR_GRN-CAFs.Melanocytes,1.781,0.1,17.81,1.250663919
NRP2_SEMA3C,CAFs.Melanocytes,NRP2_SEMA3C-CAFs.Melanocytes,1.371,2.177,0.629765733,-0.200820974
FN1_aVb1 complex,CAFs.Melanocytes,FN1_aVb1 complex-CAFs.Melanocytes,4.238,5.057,0.838046272,-0.076732001
LAMP1_FAM3C,CAFs.Melanocytes,LAMP1_FAM3C-CAFs.Melanocytes,1.45,0.972,1.491769547,0.173701737
TNFRSF1A_GRN,CAFs.Melanocytes,TNFRSF1A_GRN-CAFs.Melanocytes,2.039,1.356,1.503687316,0.177157536
IGF1_IGF1R,CAFs.Myofibroblasts,IGF1_IGF1R-CAFs.Myofibroblasts,0.55,0.1,5.5,0.740362689
COL6A5_a1b1 complex,CAFs.Myofibroblasts,COL6A5_a1b1 complex-CAFs.Myofibroblasts,0.84,0.1,8.4,0.924279286
COL1A1_a1b1 complex,CAFs.Myofibroblasts,COL1A1_a1b1 complex-CAFs.Myofibroblasts,99.32,41.482,2.3942915,0.379177024
COL1A2_a1b1 complex,CAFs.Myofibroblasts,COL1A2_a1b1 complex-CAFs.Myofibroblasts,55.066,24.837,2.217095462,0.345784393
COL3A1_a1b1 complex,CAFs.Myofibroblasts,COL3A1_a1b1 complex-CAFs.Myofibroblasts,50.514,30.155,1.675145084,0.224052427
WNT5A_ANTXR1,CAFs.Myofibroblasts,WNT5A_ANTXR1-CAFs.Myofibroblasts,0.521,1.482,0.351551957,-0.45401048
COL5A1_a1b1 complex,CAFs.Myofibroblasts,COL5A1_a1b1 complex-CAFs.Myofibroblasts,3.608,2.748,1.312954876,0.1182498
LAMC1_a7b1 complex,CAFs.Myofibroblasts,LAMC1_a7b1 complex-CAFs.Myofibroblasts,1.503,1.094,1.373857404,0.137941659
WNT5A_PTPRK,CAFs.Myofibroblasts,WNT5A_PTPRK-CAFs.Myofibroblasts,0.709,1.489,0.476158496,-0.322248463
PLXNB2_SEMA4C,CAFs.Myofibroblasts,PLXNB2_SEMA4C-CAFs.Myofibroblasts,0.675,0.376,1.795212766,0.254115928
COL11A1_a1b1 complex,CAFs.Myofibroblasts,COL11A1_a1b1 complex-CAFs.Myofibroblasts,1.146,1.555,0.736977492,-0.132545776
COL6A1_a1b1 complex,CAFs.Myofibroblasts,COL6A1_a1b1 complex-CAFs.Myofibroblasts,24.04,11.653,2.062988072,0.314496717
COL6A2_a1b1 complex,CAFs.Myofibroblasts,COL6A2_a1b1 complex-CAFs.Myofibroblasts,25.111,13.771,1.82346961,0.26089853
COL6A3_a1b1 complex,CAFs.Myofibroblasts,COL6A3_a1b1 complex-CAFs.Myofibroblasts,9.606,6.288,1.527671756,0.184030049
COL5A3_a1b1 complex,CAFs.Myofibroblasts,COL5A3_a1b1 complex-CAFs.Myofibroblasts,1.442,2.079,0.693602694,-0.158889229
COL7A1_a1b1 complex,CAFs.Myofibroblasts,COL7A1_a1b1 complex-CAFs.Myofibroblasts,1.44,3.323,0.433343364,-0.363167849
JAM2_JAM3,CAFs.Myofibroblasts,JAM2_JAM3-CAFs.Myofibroblasts,0.369,0.661,0.558245083,-0.253175093
COL5A2_a1b1 complex,CAFs.Myofibroblasts,COL5A2_a1b1 complex-CAFs.Myofibroblasts,4.754,4.98,0.954618474,-0.020170165
COL15A1_a1b1 complex,CAFs.Myofibroblasts,COL15A1_a1b1 complex-CAFs.Myofibroblasts,2.295,2.117,1.084081247,0.035061832
NRP1_PGF,CAFs.Myofibroblasts,NRP1_PGF-CAFs.Myofibroblasts,0.686,0.905,0.75801105,-0.120324463
COL12A1_a1b1 complex,CAFs.Myofibroblasts,COL12A1_a1b1 complex-CAFs.Myofibroblasts,2.525,2.95,0.855932203,-0.067560634
COL16A1_a1b1 complex,CAFs.Myofibroblasts,COL16A1_a1b1 complex-CAFs.Myofibroblasts,1.953,1.89,1.033333333,0.014240439
COL14A1_a1b1 complex,CAFs.Myofibroblasts,COL14A1_a1b1 complex-CAFs.Myofibroblasts,1.852,0.1,18.52,1.267640982
COL27A1_a1b1 complex,CAFs.Myofibroblasts,COL27A1_a1b1 complex-CAFs.Myofibroblasts,1.134,1.553,0.730199614,-0.136558401
JAM3_JAM3,CAFs.Myofibroblasts,JAM3_JAM3-CAFs.Myofibroblasts,0.422,0.742,0.568733154,-0.245091454
FBN1_a5b1 complex,CAFs.Myofibroblasts,FBN1_a5b1 complex-CAFs.Myofibroblasts,1.771,1.147,1.544027899,0.188655143
COL4A2_a1b1 complex,CAFs.Myofibroblasts,COL4A2_a1b1 complex-CAFs.Myofibroblasts,2.804,3.011,0.931252076,-0.030932746
COL4A1_a1b1 complex,CAFs.Myofibroblasts,COL4A1_a1b1 complex-CAFs.Myofibroblasts,3.109,3.025,1.027768595,0.011895343
NRP2_PGF,CAFs.Myofibroblasts,NRP2_PGF-CAFs.Myofibroblasts,0.565,0.958,0.589770355,-0.229317061
EGFR_HBEGF,CAFs.Myofibroblasts,EGFR_HBEGF-CAFs.Myofibroblasts,0.566,0.1,5.66,0.752816431
COL18A1_a1b1 complex,CAFs.Myofibroblasts,COL18A1_a1b1 complex-CAFs.Myofibroblasts,4.122,2.133,1.932489451,0.286117132
PROS1_AXL,CAFs.Myofibroblasts,PROS1_AXL-CAFs.Myofibroblasts,0.83,0.1,8.3,0.919078092
IL6 receptor_IL6,CAFs.Myofibroblasts,IL6 receptor_IL6-CAFs.Myofibroblasts,1.904,2.076,0.917148362,-0.037560405
JAG1_NOTCH3,CAFs.Myofibroblasts,JAG1_NOTCH3-CAFs.Myofibroblasts,3.215,0.1,32.15,1.507180977
AXL_GAS6,CAFs.Myofibroblasts,AXL_GAS6-CAFs.Myofibroblasts,0.68,0.567,1.199294533,0.078925854
FN1_a5b1 complex,CAFs.Myofibroblasts,FN1_a5b1 complex-CAFs.Myofibroblasts,4.255,4.966,0.85682642,-0.067107151
GRN_SORT1,CAFs.Myofibroblasts,GRN_SORT1-CAFs.Myofibroblasts,1.12,1.168,0.95890411,-0.01822482
