Ligand.Cellset,Receptor.Cellset,PreEffectiveScore,PreEffectiveNum,PreNonEffectiveScore,PreNonEffectiveNum,PreEffectiveVsNonEffectiveScoreRatio,PreEffectiveVsNonEffectiveNumRatio,PostEffectiveScore,PostEffectiveNum,PostNonEffectiveScore,PostNonEffectiveNum,EffectivePostVsPreScoreRatio,EffectivePostVsPreNumRatio,NonEffectivePostVsPreScoreRatio,NonEffectivePostVsPreNumRatio,ResVsNonResScoreRatio,ResVsNonResNumRatio
Melanocytes,CD8_mem_T_cells,23.8800 ,9.0000 ,15.4730 ,8.0000 ,1.5433 ,1.1250 ,21.3270 ,13.0000 ,13.6340 ,6.0000 ,0.8931 ,1.4444 ,0.8811 ,0.7500 ,1.0136 ,1.9259 
Melanocytes,DCs,26.3730 ,8.0000 ,17.9420 ,13.0000 ,1.4699 ,0.6154 ,20.2550 ,13.0000 ,10.5170 ,6.0000 ,0.7680 ,1.6250 ,0.5862 ,0.4615 ,1.3102 ,3.5208 
Melanocytes,Endothelial,50.2310 ,12.0000 ,59.0300 ,24.0000 ,0.8509 ,0.5000 ,47.2310 ,24.0000 ,53.3740 ,25.0000 ,0.9403 ,2.0000 ,0.9042 ,1.0417 ,1.0399 ,1.9200 
Melanocytes,Macrophages,62.7240 ,18.0000 ,37.8110 ,16.0000 ,1.6589 ,1.1250 ,74.1640 ,23.0000 ,36.1810 ,13.0000 ,1.1824 ,1.2778 ,0.9569 ,0.8125 ,1.2357 ,1.5726 
Melanocytes,Melanocytes,25.6840 ,11.0000 ,18.9920 ,13.0000 ,1.3524 ,0.8462 ,22.5410 ,16.0000 ,13.1330 ,11.0000 ,0.8776 ,1.4545 ,0.6915 ,0.8462 ,1.2692 ,1.7190 
Melanocytes,Myofibroblasts,29.9870 ,15.0000 ,28.0440 ,19.0000 ,1.0693 ,0.7895 ,22.1320 ,15.0000 ,24.3660 ,16.0000 ,0.7381 ,1.0000 ,0.8688 ,0.8421 ,0.8495 ,1.1875 
Melanocytes,NK_cells,36.4720 ,9.0000 ,41.0260 ,16.0000 ,0.8890 ,0.5625 ,40.4390 ,20.0000 ,25.7710 ,10.0000 ,1.1088 ,2.2222 ,0.6282 ,0.6250 ,1.7651 ,3.5556 
Melanocytes,Plasma_cells,14.6020 ,5.0000 ,9.1760 ,6.0000 ,1.5913 ,0.8333 ,21.7080 ,11.0000 ,6.1300 ,2.0000 ,1.4866 ,2.2000 ,0.6680 ,0.3333 ,2.2254 ,6.6000 
Melanocytes,Tcell_prolif,22.2200 ,7.0000 ,13.2320 ,9.0000 ,1.6793 ,0.7778 ,17.5220 ,12.0000 ,11.8550 ,7.0000 ,0.7886 ,1.7143 ,0.8959 ,0.7778 ,0.8802 ,2.2041 
Melanocytes,Tregs,24.8960 ,7.0000 ,18.2020 ,8.0000 ,1.3678 ,0.8750 ,24.3610 ,12.0000 ,16.2690 ,6.0000 ,0.9785 ,1.7143 ,0.8938 ,0.7500 ,1.0948 ,2.2857 
Melanocytes,Tumor_1,24.7210 ,16.0000 ,17.7570 ,16.0000 ,1.3922 ,1.0000 ,24.8370 ,18.0000 ,13.2790 ,19.0000 ,1.0047 ,1.1250 ,0.7478 ,1.1875 ,1.3435 ,0.9474 
Melanocytes,Tumor_2,31.1840 ,16.0000 ,29.1670 ,17.0000 ,1.0692 ,0.9412 ,18.1200 ,11.0000 ,21.9460 ,19.0000 ,0.5811 ,0.6875 ,0.7524 ,1.1176 ,0.7723 ,0.6151 
